nro_orden;uni_local;nit;idproraz;idnomcom;idsigla;iddirecc;idtelno;idfaxno;idaano;idcorreo;finicial;ffinal;fk_depto;fk_mpio;fk_ciiu;fk_sede;fk_subsede
1;1;99000001;REGISTRO DE PRUEBA NRO. 001;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 001;REGPR1;Calle 1 Nro. 1 - 1;5550001;5550001;1111;regpruebas1@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;11
2;1;99000002;REGISTRO DE PRUEBA NRO. 002;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 002;REGPR2;Calle 2 Nro. 2 - 2;5550002;5550002;2222;regpruebas2@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;15
3;1;99000003;REGISTRO DE PRUEBA NRO. 003;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 003;REGPR3;Calle 3 Nro. 3 - 3;5550003;5550003;3333;regpruebas3@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;11
4;1;99000004;REGISTRO DE PRUEBA NRO. 004;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 004;REGPR4;Calle 4 Nro. 4 - 4;5550004;5550004;4444;regpruebas4@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;15
5;1;99000005;REGISTRO DE PRUEBA NRO. 005;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 005;REGPR5;Calle 5 Nro. 5 - 5;5550005;5550005;5555;regpruebas5@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;11
6;1;99000006;REGISTRO DE PRUEBA NRO. 006;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 006;REGPR6;Calle 6 Nro. 6 - 6;5550006;5550006;6666;regpruebas6@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;15
7;1;99000007;REGISTRO DE PRUEBA NRO. 007;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 007;REGPR7;Calle 7 Nro. 7 - 7;5550007;5550007;7777;regpruebas7@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;11
8;1;99000008;REGISTRO DE PRUEBA NRO. 008;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 008;REGPR8;Calle 8 Nro. 8 - 8;5550008;5550008;8888;regpruebas8@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;15
9;1;99000009;REGISTRO DE PRUEBA NRO. 009;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 009;REGPR9;Calle 9 Nro. 9 - 9 ;5550009;5550009;9999;regpruebas9@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;11
10;1;99000010;REGISTRO DE PRUEBA NRO. 010;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 010;REGPR10;Calle 10 Nro. 10 - 10;5550010;5550010;1010;regpruebas10@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;15
11;1;99000011;REGISTRO DE PRUEBA NRO. 011;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 011;REGPR11;Calle 11 Nro. 11 - 11;5550011;5550011;1111;regpruebas11@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;11
12;1;99000012;REGISTRO DE PRUEBA NRO. 012;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 012;REGPR12;Calle 12 Nro. 12 - 12;5550012;5550012;1212;regpruebas12@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;15
13;1;99000013;REGISTRO DE PRUEBA NRO. 013;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 013;REGPR13;Calle 13 Nro. 13 - 13;5550013;5550013;1313;regpruebas13@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;11
14;1;99000014;REGISTRO DE PRUEBA NRO. 014;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 014;REGPR14;Calle 14 Nro. 14 - 14;5550014;5550014;1414;regpruebas14@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;15
15;1;99000015;REGISTRO DE PRUEBA NRO. 015;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 015;REGPR15;Calle 15 Nro. 15 - 15;5550015;5550015;1515;regpruebas15@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;11
16;1;99000016;REGISTRO DE PRUEBA NRO. 016;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 016;REGPR16;Calle 16 Nro. 16 - 16;5550016;5550016;1616;regpruebas16@localhost.com;2012-01-01;2012-12-31;11;3;5511;11;15
17;1;99000017;REGISTRO DE PRUEBA NRO. 017;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 017;REGPR17;Calle 17 Nro. 17 - 17;5550017;5550017;1717;regpruebas17@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;68
18;1;99000018;REGISTRO DE PRUEBA NRO. 018;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 018;REGPR18;Calle 18 Nro. 18 - 18;5550018;5550018;1818;regpruebas18@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;54
19;1;99000019;REGISTRO DE PRUEBA NRO. 019;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 019;REGPR19;Calle 19 Nro. 19 - 19;5550019;5550019;1919;regpruebas19@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;68
