Nro. Orden|Unidad Local|Nit|Raz¢n Social|Nombre Comercial|Sigla|Direccion|Telefono|Fax|Apartado Aereo|Email|Fecha Inicial|Fecha Final|Departamento|Municipio|Actividad CIIU|Sede|Subsede
1|1|11111111111|REGISTRO DE PRUEBA NRO. 001|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 001|REGPR1|Calle 1 Nro. 1 - 1|1111111|1111111|1111|regpruebas1@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
2|1|22222222222|REGISTRO DE PRUEBA NRO. 002|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 002|REGPR2|Calle 2 Nro. 2 - 2|2222222|2222222|2222|regpruebas2@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
3|1|33333333333|REGISTRO DE PRUEBA NRO. 003|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 003|REGPR3|Calle 1 Nro. 1 - 2|3333333|3333333|3333|regpruebas3@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
4|1|44444444444|REGISTRO DE PRUEBA NRO. 004|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 004|REGPR4|Calle 2 Nro. 2 - 3|4444444|4444444|4444|regpruebas4@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
5|1|55555555555|REGISTRO DE PRUEBA NRO. 005|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 005|REGPR5|Calle 1 Nro. 1 - 3|5555555|5555555|5555|regpruebas5@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
6|1|66666666666|REGISTRO DE PRUEBA NRO. 006|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 006|REGPR6|Calle 2 Nro. 2 - 4|6666666|6666666|6666|regpruebas6@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
7|1|77777777777|REGISTRO DE PRUEBA NRO. 007|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 007|REGPR7|Calle 1 Nro. 1 - 4|7777777|7777777|7777|regpruebas7@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
8|1|88888888888|REGISTRO DE PRUEBA NRO. 008|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 008|REGPR8|Calle 2 Nro. 2 - 5|8888888|8888888|8888|regpruebas8@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
9|1|99999999999|REGISTRO DE PRUEBA NRO. 009|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 009|REGPR9|Calle 1 Nro. 1 - 5|9999999|9999999|9999|regpruebas9@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
10|1|111111111110|REGISTRO DE PRUEBA NRO. 010|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 010|REGPR10|Calle 2 Nro. 2 - 6|11111110|11111110|11110|regpruebas10@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
11|1|122222222221|REGISTRO DE PRUEBA NRO. 011|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 011|REGPR11|Calle 1 Nro. 1 - 6|12222221|12222221|12221|regpruebas11@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
12|1|133333333332|REGISTRO DE PRUEBA NRO. 012|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 012|REGPR12|Calle 2 Nro. 2 - 7|13333332|13333332|13332|regpruebas12@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
13|1|144444444443|REGISTRO DE PRUEBA NRO. 013|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 013|REGPR13|Calle 1 Nro. 1 - 7|14444443|14444443|14443|regpruebas13@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
14|1|155555555554|REGISTRO DE PRUEBA NRO. 014|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 014|REGPR14|Calle 2 Nro. 2 - 8|15555554|15555554|15554|regpruebas14@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
15|1|166666666665|REGISTRO DE PRUEBA NRO. 015|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 015|REGPR15|Calle 1 Nro. 1 - 8|16666665|16666665|16665|regpruebas15@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
16|1|177777777776|REGISTRO DE PRUEBA NRO. 016|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 016|REGPR16|Calle 2 Nro. 2 - 9|17777776|17777776|17776|regpruebas16@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
17|1|188888888887|REGISTRO DE PRUEBA NRO. 017|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 017|REGPR17|Calle 1 Nro. 1 - 9|18888887|18888887|18887|regpruebas17@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
18|1|199999999998|REGISTRO DE PRUEBA NRO. 018|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 018|REGPR18|Calle 2 Nro. 2 - 10|19999998|19999998|19998|regpruebas18@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
19|1|211111111109|REGISTRO DE PRUEBA NRO. 019|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 019|REGPR19|Calle 1 Nro. 1 - 10|21111109|21111109|21109|regpruebas19@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
20|1|222222222220|REGISTRO DE PRUEBA NRO. 020|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 020|REGPR20|Calle 2 Nro. 2 - 11|22222220|22222220|22220|regpruebas20@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
21|1|233333333331|REGISTRO DE PRUEBA NRO. 021|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 021|REGPR21|Calle 1 Nro. 1 - 11|23333331|23333331|23331|regpruebas21@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
22|1|244444444442|REGISTRO DE PRUEBA NRO. 022|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 022|REGPR22|Calle 2 Nro. 2 - 12|24444442|24444442|24442|regpruebas22@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
